timestamp,task,prompt_tokens,completion_tokens,total_tokens,cost_usd,cumulative_tokens,total_cost_usd
2025-09-04T20:43:27.216002,behavioural_features,731,293,1024,0.004758,47249,0.144332
2025-09-04T20:43:39.333871,decisions,4633,231,4864,0.013893,52113,0.158224
2025-09-04T20:43:44.385729,rag_eval,3720,122,3842,0.010520,55955,0.168744
2025-09-04T20:44:29.301576,rag_eval,3719,148,3867,0.010778,59822,0.179522
2025-09-04T20:44:40.386991,rag_eval,3719,134,3853,0.010638,63675,0.190159
2025-09-04T20:44:44.683634,evaluation,1618,135,1753,0.005395,65428,0.195554
2025-09-04T20:45:06.032939,report_generation,1486,1380,2866,0.017515,68294,0.213069
2025-09-04T20:52:54.914298,behavioural_features,733,309,1042,0.004923,69336,0.217992
2025-09-04T20:53:14.285558,decisions,4701,157,4858,0.013323,74194,0.231314
2025-09-04T20:53:17.669107,rag_eval,3699,131,3830,0.010558,78024,0.241871
2025-09-04T20:53:20.886761,rag_eval,3698,121,3819,0.010455,81843,0.252326
2025-09-04T20:54:11.714199,rag_eval,3698,138,3836,0.010625,85679,0.262951
2025-09-04T20:54:15.948641,evaluation,1548,204,1752,0.005910,87431,0.268861
2025-09-04T20:54:27.286691,decisions,4917,152,5069,0.013813,92500,0.282674
2025-09-04T20:55:14.549700,rag_eval,3694,142,3836,0.010655,96336,0.293329
2025-09-04T20:55:17.072580,rag_eval,3693,103,3796,0.010263,100132,0.303592
2025-09-04T20:55:30.222994,rag_eval,3693,141,3834,0.010643,103966,0.314234
2025-09-04T20:55:33.544000,evaluation,1542,120,1662,0.005055,105628,0.319289
2025-09-04T20:56:38.538218,report_generation,1410,1205,2615,0.015575,108243,0.334864
2025-09-04T21:05:21.782632,behavioural_features,727,296,1023,0.004778,109266,0.339641
2025-09-04T21:05:35.579688,decisions,4686,162,4848,0.013335,114114,0.352976
2025-09-04T21:05:38.435926,rag_eval,3707,138,3845,0.010648,117959,0.363623
2025-09-04T21:05:41.006965,rag_eval,3706,123,3829,0.010495,121788,0.374118
2025-09-04T21:06:38.530838,rag_eval,3706,139,3845,0.010655,125633,0.384773
2025-09-04T21:06:43.405380,evaluation,1550,165,1715,0.005525,127348,0.390298
2025-09-04T21:07:34.651818,report_generation,1418,1300,2718,0.016545,130066,0.406843
2025-09-04T21:11:01.951470,behavioural_features,731,327,1058,0.005098,131124,0.411940
2025-09-04T21:11:18.936561,decisions,4725,178,4903,0.013593,136027,0.425532
2025-09-04T21:11:22.464193,rag_eval,3724,123,3847,0.010540,139874,0.436072
2025-09-04T21:11:58.323370,rag_eval,3723,126,3849,0.010568,143723,0.446640
2025-09-04T21:12:20.041831,rag_eval,3723,135,3858,0.010658,147581,0.457297
2025-09-04T21:12:26.379365,evaluation,1588,154,1742,0.005510,149323,0.462807
2025-09-04T21:12:44.024946,report_generation,1456,1269,2725,0.016330,152048,0.479137
2025-09-04T21:29:59.386079,behavioural_features,731,330,1061,0.005128,153109,0.484264
2025-09-04T21:31:29.165111,decisions,4666,169,4835,0.013355,157944,0.497619
2025-09-04T21:31:32.520511,rag_eval,3658,116,3774,0.010305,161718,0.507924
2025-09-04T21:31:37.552976,rag_eval,3657,115,3772,0.010293,165490,0.518217
2025-09-04T21:32:29.912948,rag_eval,3657,137,3794,0.010513,169284,0.528730
2025-09-04T21:32:35.686968,evaluation,1553,198,1751,0.005863,171035,0.534593
2025-09-04T21:32:42.211726,behavioural_features,731,316,1047,0.004988,172082,0.539581
2025-09-04T21:32:56.217817,decisions,4861,205,5066,0.014203,177148,0.553783
2025-09-04T21:33:31.362252,rag_eval,3698,111,3809,0.010355,180957,0.564138
2025-09-04T21:33:41.258750,rag_eval,3697,128,3825,0.010523,184782,0.574661
2025-09-04T21:33:55.200504,rag_eval,3697,131,3828,0.010553,188610,0.585213
2025-09-04T21:34:33.973033,evaluation,1594,131,1725,0.005295,190335,0.590508
2025-09-04T21:35:02.870219,report_generation,1462,1259,2721,0.016245,193056,0.606753
2025-09-04T22:17:53.961072,behavioural_features,731,324,1055,0.005068,194111,0.611820
2025-09-04T22:18:05.856561,decisions,4664,184,4848,0.013500,198959,0.625320
2025-09-04T22:18:08.945859,rag_eval,3673,125,3798,0.010433,202757,0.635752
2025-09-04T22:18:49.790835,rag_eval,3672,127,3799,0.010450,206556,0.646202
2025-09-04T22:19:07.703045,rag_eval,3672,124,3796,0.010420,210352,0.656622
2025-09-04T22:19:11.173596,evaluation,1575,129,1704,0.005228,212056,0.661850
2025-09-04T22:19:52.253295,decisions,4805,175,4980,0.013763,217036,0.675613
2025-09-04T22:20:09.446004,rag_eval,3664,158,3822,0.010740,220858,0.686353
2025-09-04T22:20:11.985813,rag_eval,3663,118,3781,0.010338,224639,0.696690
2025-09-04T22:20:56.297857,rag_eval,3663,148,3811,0.010638,228450,0.707327
2025-09-04T22:21:01.104951,evaluation,1618,174,1792,0.005785,230242,0.713112
2025-09-04T22:21:15.746757,behavioural_features,731,329,1060,0.005118,231302,0.718229
2025-09-04T22:21:27.556528,decisions,4851,175,5026,0.013878,236328,0.732106
2025-09-04T22:21:57.716504,rag_eval,3664,126,3790,0.010420,240118,0.742526
2025-09-04T22:22:11.652612,rag_eval,3663,108,3771,0.010238,243889,0.752764
2025-09-04T22:22:30.633442,rag_eval,3663,103,3766,0.010188,247655,0.762952
2025-09-04T22:22:33.845030,evaluation,1528,123,1651,0.005050,249306,0.768002
2025-09-04T22:23:17.590413,report_generation,1396,1459,2855,0.018080,252161,0.786082
2025-09-04T22:37:47.488517,behavioural_features,737,342,1079,0.005263,253240,0.791344
2025-09-04T22:38:05.861296,decisions,4839,213,5052,0.014228,258292,0.805571
2025-09-04T22:38:10.162257,rag_eval,3856,150,4006,0.011140,262298,0.816711
2025-09-04T22:38:44.709628,rag_eval,3855,128,3983,0.010918,266281,0.827628
2025-09-04T22:39:12.938337,rag_eval,3855,134,3989,0.010978,270270,0.838606
2025-09-04T22:39:16.802390,evaluation,1670,130,1800,0.005475,272070,0.844081
2025-09-04T22:39:53.335434,report_generation,1538,1506,3044,0.018905,275114,0.862986
2025-09-04T22:42:34.817285,behavioural_features,737,344,1081,0.005283,276195,0.868268
2025-09-04T22:42:50.187497,decisions,4755,185,4940,0.013737,281135,0.882005
2025-09-04T22:42:53.502564,rag_eval,3742,126,3868,0.010615,285003,0.892620
2025-09-04T22:43:33.635103,rag_eval,3741,122,3863,0.010573,288866,0.903192
2025-09-04T22:43:48.275455,rag_eval,3741,92,3833,0.010273,292699,0.913465
2025-09-04T22:43:52.991573,evaluation,1563,111,1674,0.005018,294373,0.918482
2025-09-04T22:44:34.378235,decisions,4878,143,5021,0.013625,299394,0.932107
2025-09-04T22:44:51.062990,rag_eval,3700,145,3845,0.010700,303239,0.942807
2025-09-04T22:44:55.660765,rag_eval,3699,112,3811,0.010367,307050,0.953174
2025-09-04T22:45:37.594018,rag_eval,3699,167,3866,0.010918,310916,0.964091
2025-09-04T22:45:40.277425,evaluation,1610,122,1732,0.005245,312648,0.969336
2025-09-04T22:46:24.844046,report_generation,1478,1376,2854,0.017455,315502,0.986791
2025-09-04T22:53:40.976253,report_generation,2873,1371,4244,0.020893,319746,1.007683
2025-09-04T22:54:46.877821,report_generation,2873,1412,4285,0.021303,324031,1.028986
